suburb,postcode,suburb_postcode,state_long,zone
Alice Springs,0872,ALICE SPRINGS 0872,Northern Territory,Remote
Ali Curung,0872,ALI CURUNG 0872,Northern Territory,Remote
Amoonguna,0872,AMOONGUNA 0872,Northern Territory,Remote
Ampilatwatja,0872,AMPILATWATJA 0872,Northern Territory,Remote
Anatye,0872,ANATYE 0872,Northern Territory,Remote
Anmatjere,0872,ANMATJERE 0872,Northern Territory,Remote
Areyonga,0872,AREYONGA 0872,Northern Territory,Remote
Atitjere,0872,ATITJERE 0872,Northern Territory,Remote
Barrow Creek,0872,BARROW CREEK 0872,Northern Territory,Remote
Burt Plain,0872,BURT PLAIN 0872,Northern Territory,Remote
Canteen Creek,0872,CANTEEN CREEK 0872,Northern Territory,Remote
Chilla Well,0872,CHILLA WELL 0872,Northern Territory,Remote
Costello,0872,COSTELLO 0872,Northern Territory,Remote
Davenport,0872,DAVENPORT 0872,Northern Territory,Remote
Engawala,0872,ENGAWALA 0872,Northern Territory,Remote
Erldunda,0872,ERLDUNDA 0872,Northern Territory,Remote
Ernabella,0872,ERNABELLA 0872,South Australia,Remote
Finke,0872,FINKE 0872,Northern Territory,Remote
Fregon,0872,FREGON 0872,South Australia,Remote
Ghan,0872,GHAN 0872,Northern Territory,Remote
Gibson Desert North,0872,GIBSON DESERT NORTH 0872,Western Australia,Remote
Gibson Desert South,0872,GIBSON DESERT SOUTH 0872,Western Australia,Remote
Haasts Bluff,0872,HAASTS BLUFF 0872,Northern Territory,Remote
Hale,0872,HALE 0872,Northern Territory,Remote
Hart,0872,HART 0872,Northern Territory,Remote
Hart Range,0872,HART RANGE 0872,Northern Territory,Remote
Hermannsburg,0872,HERMANNSBURG 0872,Northern Territory,Remote
Hugh,0872,HUGH 0872,Northern Territory,Remote
Imanpa,0872,IMANPA 0872,Northern Territory,Remote
Indulkana,0872,INDULKANA 0872,South Australia,Remote
Ininti Store,0872,ININTI STORE 0872,Northern Territory,Remote
Kaltukatjara,0872,KALTUKATJARA 0872,Northern Territory,Remote
Kintore,0872,KINTORE 0872,Northern Territory,Remote
Kiwirrkurra,0872,KIWIRRKURRA 0872,Western Australia,Remote
Kulgera,0872,KULGERA 0872,Northern Territory,Remote
Kunparrka,0872,KUNPARRKA 0872,Northern Territory,Remote
Lake Mackay,0872,LAKE MACKAY 0872,Northern Territory,Remote
Laramba,0872,LARAMBA 0872,Northern Territory,Remote
Mereenie,0872,MEREENIE 0872,Northern Territory,Remote
Mimili,0872,MIMILI 0872,South Australia,Remote
Mount Liebig,0872,MOUNT LIEBIG 0872,Northern Territory,Remote
Mount Zeil,0872,MOUNT ZEIL 0872,Northern Territory,Remote
Mutitjulu,0872,MUTITJULU 0872,Northern Territory,Remote
Namatjira,0872,NAMATJIRA 0872,Northern Territory,Remote
Ngaanyatjarra-Giles,0872,NGAANYATJARRA-GILES 0872,Western Australia,Remote
Nyapari,0872,NYAPARI 0872,South Australia,Remote
Nyirripi,0872,NYIRRIPI 0872,Northern Territory,Remote
Papunya,0872,PAPUNYA 0872,Northern Territory,Remote
Patjarr,0872,PATJARR 0872,Western Australia,Remote
Petermann,0872,PETERMANN 0872,Northern Territory,Remote
Sandover,0872,SANDOVER 0872,Northern Territory,Remote
Santa Teresa,0872,SANTA TERESA 0872,Northern Territory,Remote
Simpson,0872,SIMPSON 0872,Northern Territory,Remote
Tanami,0872,TANAMI 0872,Northern Territory,Remote
Tara,0872,TARA 0872,Northern Territory,Remote
Titjikala,0872,TITJIKALA 0872,Northern Territory,Remote
Ti Tree,0872,TI TREE 0872,Northern Territory,Remote
Tjirrkarli,0872,TJIRRKARLI 0872,Western Australia,Remote
Tjukurla,0872,TJUKURLA 0872,Western Australia,Remote
Wallace Rockhole,0872,WALLACE ROCKHOLE 0872,Northern Territory,Remote
Wannan,0872,WANNAN 0872,Western Australia,Remote
Willowra,0872,WILLOWRA 0872,Northern Territory,Remote
Wilora,0872,WILORA 0872,Northern Territory,Remote
Wingellina,0872,WINGELLINA 0872,Western Australia,Remote
Wutunugurra,0872,WUTUNUGURRA 0872,Northern Territory,Remote
Yuelamu,0872,YUELAMU 0872,Northern Territory,Remote
Yuendumu,0872,YUENDUMU 0872,Northern Territory,Remote
Yulara,0872,YULARA 0872,Northern Territory,Remote
Gapuwiyak,0880,GAPUWIYAK 0880,Northern Territory,Remote
Gunyangara,0880,GUNYANGARA 0880,Northern Territory,Remote
Nhulunbuy,0880,NHULUNBUY 0880,Northern Territory,Remote
Yirrkala,0880,YIRRKALA 0880,Northern Territory,Remote
Alyangula,0885,ALYANGULA 0885,Northern Territory,Remote
Jabiru,0886,JABIRU 0886,Northern Territory,Remote
Cowan,2081,COWAN 2081,New South Wales,Remote
Berowra Creek,2082,BEROWRA CREEK 2082,New South Wales,Remote
Bar Point,2083,BAR POINT 2083,New South Wales,Remote
Cheero Point,2083,CHEERO POINT 2083,New South Wales,Remote
Cogra Bay,2083,COGRA BAY 2083,New South Wales,Remote
Dangar Island,2083,DANGAR ISLAND 2083,New South Wales,Remote
Milsons Passage,2083,MILSONS PASSAGE 2083,New South Wales,Remote
Cottage Point,2084,COTTAGE POINT 2084,New South Wales,Remote
Elvina Bay,2105,ELVINA BAY 2105,New South Wales,Remote
Lovett Bay,2105,LOVETT BAY 2105,New South Wales,Remote
Mccarrs Creek,2105,MCCARRS CREEK 2105,New South Wales,Remote
Morning Bay,2105,MORNING BAY 2105,New South Wales,Remote
Scotland Island,2105,SCOTLAND ISLAND 2105,New South Wales,Remote
Coasters Retreat,2108,COASTERS RETREAT 2108,New South Wales,Remote
Currawong Beach,2108,CURRAWONG BEACH 2108,New South Wales,Remote
Canoelands,2157,CANOELANDS 2157,New South Wales,Remote
Forest Glen,2157,FOREST GLEN 2157,New South Wales,Remote
Fiddletown,2159,FIDDLETOWN 2159,New South Wales,Remote
Bundeena,2230,BUNDEENA 2230,New South Wales,Remote
Maianbar,2230,MAIANBAR 2230,New South Wales,Remote
Audley,2232,AUDLEY 2232,New South Wales,Remote
Greengrove,2250,GREENGROVE 2250,New South Wales,Remote
Mooney Mooney Creek,2250,MOONEY MOONEY CREEK 2250,New South Wales,Remote
Ten Mile Hollow,2250,TEN MILE HOLLOW 2250,New South Wales,Remote
Frazer Park,2259,FRAZER PARK 2259,New South Wales,Remote
Martinsville,2265,MARTINSVILLE 2265,New South Wales,Remote
Dangar,2309,DANGAR 2309,New South Wales,Remote
Allynbrook,2311,ALLYNBROOK 2311,New South Wales,Remote
Bingleburra,2311,BINGLEBURRA 2311,New South Wales,Remote
Carrabolla,2311,CARRABOLLA 2311,New South Wales,Remote
East Gresford,2311,EAST GRESFORD 2311,New South Wales,Remote
Eccleston,2311,ECCLESTON 2311,New South Wales,Remote
Gresford,2311,GRESFORD 2311,New South Wales,Remote
Halton,2311,HALTON 2311,New South Wales,Remote
Lewinsbrook,2311,LEWINSBROOK 2311,New South Wales,Remote
Lostock,2311,LOSTOCK 2311,New South Wales,Remote
Mount Rivers,2311,MOUNT RIVERS 2311,New South Wales,Remote
Upper Allyn,2311,UPPER ALLYN 2311,New South Wales,Remote
Minimbah,2312,MINIMBAH 2312,New South Wales,Remote
Hillsborough,2320,HILLSBOROUGH 2320,New South Wales,Remote
Berry Park,2321,BERRY PARK 2321,New South Wales,Remote
Duckenfield,2321,DUCKENFIELD 2321,New South Wales,Remote
Hinton,2321,HINTON 2321,New South Wales,Remote
Oswald,2321,OSWALD 2321,New South Wales,Remote
Four Mile Creek,2323,FOUR MILE CREEK 2323,New South Wales,Remote
Freemans Waterhole,2323,FREEMANS WATERHOLE 2323,New South Wales,Remote
Richmond Vale,2323,RICHMOND VALE 2323,New South Wales,Remote
Balickera,2324,BALICKERA 2324,New South Wales,Remote
Brandy Hill,2324,BRANDY HILL 2324,New South Wales,Remote
Bundabah,2324,BUNDABAH 2324,New South Wales,Remote
Carrington,2324,CARRINGTON 2324,New South Wales,Remote
Cells River,2324,CELLS RIVER 2324,New South Wales,Remote
Eagleton,2324,EAGLETON 2324,New South Wales,Remote
East Seaham,2324,EAST SEAHAM 2324,New South Wales,Remote
Limeburners Creek,2324,LIMEBURNERS CREEK 2324,New South Wales,Remote
Millers Forest,2324,MILLERS FOREST 2324,New South Wales,Remote
Nelsons Plains,2324,NELSONS PLAINS 2324,New South Wales,Remote
North Arm Cove,2324,NORTH ARM COVE 2324,New South Wales,Remote
Osterley,2324,OSTERLEY 2324,New South Wales,Remote
Pindimar,2324,PINDIMAR 2324,New South Wales,Remote
Seaham,2324,SEAHAM 2324,New South Wales,Remote
Swan Bay,2324,SWAN BAY 2324,New South Wales,Remote
Tahlee,2324,TAHLEE 2324,New South Wales,Remote
Twelve Mile Creek,2324,TWELVE MILE CREEK 2324,New South Wales,Remote
Abernethy,2325,ABERNETHY 2325,New South Wales,Remote
